Day,Time,Site,ARU,Species,Abundance
4/27/23,708,Big Pine Key,3,NOCA,4
,,,,WEVI,3
,,,,RBWO,1
,,,,GCFL,1
,,,,ECDO,1
,,,,RWBL,1
,741,,2,GCFL,2
,,,,MODO,1
,,,,WEVI,2
,,,,NOCA,3
,,,,RBWO,1
,,,,RWBL,1
,,,,INPE,2
,823,,1,NOCA,3
,,,,MODO,2
,,,,GCFL,1
,,,,WEVI,1
,,,,RBWO,1
,,,,COGR,1
,,,,RWBL,2
4/28/23,707,,2,MODO,1
,,,,WEVI,1
,,,,NOCA,4
,,,,INPE,2
,,,,GCFL,1
,740,,1,NOCA,4
,,,,WEVI,2
,,,,RWBL,1
,,,,INPE,1
,,,,MODO,2
,,,,RBWO,2
,,,,GCFL,2
,820,,3,NOCA,4
,,,,WEVI,2
,,,,RBWO,1
,,,,GCFL,1
,,,,MODO,2
4/29/23,708,,1,NOCA,4
,,,,COGR,2
,,,,MODO,3
,,,,GCFL,1
,,,,INPE,2
,,,,RWBL,1
,,,,RBWO,1
,,,,WEVI,1
,738,,2,GCFL,1
,,,,NOCA,3
,,,,WEVI,2
,,,,RWBO,2
,807,,3,NOCA,3
,,,,WEVI,1
,,,,MODO,1
,,,,RBWO,1
5/10/23,707,Babcock/Webb,1,MODO,1
,,,,RWBL,2
,,,,NOBO,2
,,,,RBWO,1
,,,,EATO,1
,,,,CGDO,1
,,,,EABL,1
,,,,CAWR,1
,,,,GCFL,2
,,,,BTGR,1
,,,,NOCA,3
,,,,NOMO,1
,,,,NOFL,1
,,,,EAME,1
,,,,COYE,1
,,,,PIWA,1
,734,,2,EATO,3
,,,,BLJA,2
,,,,RBWO,1
,,,,NOBO,2
,,,,WEVI,1
,,,,CAWR,1
,,,,BGGN,1
,,,,COYE,1
,,,,RWBL,1
,,,,NOCA,3
,,,,PIWA,1
,,,,NOFL,1
,,,,DOWO,1
,806,,3,EAME,2
,,,,NOBO,1
,,,,EATO,3
,,,,GCFL,3
,,,,BASP,2
,,,,DOWO,1
,,,,NOFL,1
,,,,MODO,4
,,,,PIWA,1
,,,,NOCA,1
,,,,BTGR,1
,,,,RCWO,2
,,,,BHNU,1
,,,,RBWO,2
,,,,COYE,1
5/11/23,706,,3,CONI,1
,,,,EAME,1
,,,,BASP,1
,,,,EATO,3
,,,,MODO,2
,,,,RBWO,3
,,,,GCFL,3
,,,,NOBO,4
,,,,PIWO,1
,,,,NOCA,1
,,,,CGDO,1
,,,,COYE,1
,,,,BLJA,1
,,,,RCWO,1
,,,,DOWO,1
,,,,BTGR,1
,,,,PIWA,1
,,,,BHCO,1
,734,,2,WEVI,2
,,,,EATO,2
,,,,PIWA,2
,,,,GCFL,1
,,,,MODO,1
,,,,NOCA,1
,,,,NOBO,2
,,,,COYE,1
,,,,RBWO,1
,,,,CAWR,1
,751,,1,GCFL,4
,,,,NOFL,2
,,,,EATO,3
,,,,BHNU,2
,,,,NOMO,1
,,,,NOBO,1
,,,,NOCA,2
,,,,RBWO,2
,,,,PIWA,1
,,,,BHCO,1
,,,,BTGR,1
,,,,RWCO,2
5/14/23,647,Tosohatchee,1,CGDO,1
,,,,BASP,3
,,,,GCFL,1
,,,,PIWA,1
,,,,RBWO,2
,,,,CAWR,3
,,,,DOWO,1
,,,,NOBO,2
,,,,MODO,1
,,,,WEVI,1
